(350.00, 219.77);
495,00	697,42
496,00	669,19
497,00	630,83
498,00	617,21
499,00	574,96
500,00	551,15
501,00	536,89
502,00	528,93
503,00	519,04
504,00	519,15
505,00	526,05
506,00	531,61
507,00	530,62
508,00	542,06
509,00	544,82
510,00	561,73
511,00	577,42
512,00	587,83
513,00	602,22
514,00	604,67
515,00	611,28
516,00	603,69
517,00	609,59
518,00	608,97
519,00	595,67
520,00	584,61
521,00	582,54
522,00	567,13
523,00	562,32
524,00	541,00
525,00	544,65
526,00	532,70
527,00	522,86
528,00	511,19
529,00	504,75
530,00	498,01
531,00	499,95
532,00	508,05
533,00	513,43
534,00	522,62
535,00	542,89
536,00	575,87
537,00	662,71
538,00	794,24
539,00	1012,96
540,00	1566,98
541,00	2298,10
542,00	2881,73
543,00	2877,45
544,00	2674,35
545,00	3653,86
546,00	4091,81
547,00	4067,63
548,00	2609,38
549,00	1818,79
550,00	1480,25
551,00	1175,04
552,00	959,64
553,00	798,69
554,00	675,42
555,00	584,85
556,00	512,91
557,00	482,52
558,00	457,55
559,00	437,05
560,00	416,99
561,00	402,42
562,00	400,96
563,00	395,36
564,00	394,66
565,00	371,41
566,00	370,65
567,00	375,42
568,00	371,44
569,00	364,35
570,00	361,10
571,00	352,73
572,00	350,24
573,00	350,74
574,00	361,82
575,00	375,46
576,00	567,09
577,00	784,81
578,00	812,60
579,00	890,46
580,00	748,06
581,00	718,72
582,00	695,26
583,00	754,72
584,00	783,87
585,00	772,78
586,00	781,75
587,00	813,56
588,00	773,82
589,00	696,03
590,00	597,60
591,00	583,94
592,00	639,58
593,00	686,93
594,00	643,29
595,00	566,67
596,00	494,70
597,00	478,31
598,00	506,67
599,00	545,91
600,00	545,11
601,00	498,34
602,00	464,05
603,00	437,12
604,00	418,55
605,00	429,54
606,00	449,78
607,00	491,52
608,00	584,46
609,00	832,51
610,00	1750,66
611,00	2765,12
612,00	3092,61
613,00	2679,68
614,00	1812,57
615,00	1393,34
616,00	1080,04
617,00	825,67
618,00	684,04
619,00	624,92
620,00	630,80
621,00	638,06
622,00	652,07
623,00	651,77
624,00	647,99
625,00	651,55
626,00	639,89
627,00	615,21
628,00	586,26
629,00	578,35
630,00	623,89
631,00	654,46
632,00	570,46
633,00	483,18
634,00	385,25
635,00	345,35
636,00	324,33
637,00	317,53
638,00	311,78
639,00	310,46
640,00	301,91
641,00	300,00
642,00	294,12
643,00	297,46
644,00	297,78
645,00	300,48
646,00	298,94
647,00	296,85
648,00	298,08
649,00	314,65
650,00	333,57
651,00	350,30
652,00	343,18
653,00	326,88
654,00	309,73
655,00	299,09
656,00	293,91
657,00	296,46
658,00	294,51
659,00	285,35
660,00	274,97
661,00	287,84
662,00	292,40
663,00	305,55
664,00	298,20
665,00	282,97
666,00	280,88
667,00	282,91
668,00	274,60
669,00	276,43
670,00	271,28
671,00	271,15
672,00	265,00
673,00	265,18
674,00	263,83
675,00	261,50
676,00	260,53
677,00	257,24
678,00	258,03
679,00	262,00
680,00	262,88
681,00	263,72
682,00	262,80
683,00	267,83
684,00	263,41
685,00	262,41
686,00	265,16
687,00	279,05
688,00	279,40
689,00	274,75
690,00	267,91
691,00	248,67
692,00	249,20
693,00	255,14
694,00	262,30
695,00	256,35
696,00	245,80
697,00	241,67
698,00	230,32
699,00	230,65
700,00	237,10
701,00	231,56
702,00	235,06
703,00	240,02
704,00	247,95
705,00	269,78
706,00	284,61
707,00	314,11
708,00	325,94
709,00	329,57
710,00	311,90
711,00	310,79
712,00	298,55
713,00	293,34
714,00	280,82
715,00	256,21
716,00	236,24
717,00	225,09
718,00	229,80
719,00	234,37
720,00	226,31
721,00	227,95
722,00	219,77
723,00	232,88
724,00	227,10
725,00	227,89
726,00	217,79
727,00	225,22
728,00	222,51
729,00	228,08
730,00	225,08
731,00	218,39
732,00	232,05
733,00	220,97
734,00	221,93
735,00	228,60
736,00	223,14
737,00	224,44
738,00	221,88
739,00	221,08
740,00	228,02
741,00	222,82
742,00	227,73
743,00	223,72
744,00	223,92
745,00	222,12
746,00	223,72
747,00	220,94
748,00	221,06
749,00	217,75
750,00	221,53
751,00	221,81
752,00	224,03
753,00	222,82
754,00	218,21
755,00	208,81
756,00	223,92
757,00	223,41
758,00	220,98
759,00	224,88
760,00	215,28
761,00	221,11
762,00	225,72
763,00	221,95
764,00	224,42
765,00	221,20
766,00	221,52
767,00	218,83
768,00	215,16
769,00	220,90
770,00	220,58
771,00	219,74
772,00	224,53
773,00	220,70
774,00	222,72
775,00	218,87
776,00	215,29
777,00	226,13
778,00	216,04
779,00	230,95
780,00	219,69
781,00	220,24
782,00	220,70
783,00	215,54
784,00	218,13
785,00	223,33
786,00	218,00
787,00	221,79
788,00	220,24
789,00	218,01
790,00	219,78
791,00	216,51
792,00	223,47
793,00	219,52
794,00	221,78
795,00	215,28
796,00	225,87
797,00	219,96
798,00	221,08
799,00	215,90
800,00	221,96
801,00	221,66
802,00	218,74
803,00	215,01
804,00	221,68
805,00	219,13
806,00	221,52
807,00	224,22
808,00	218,45
809,00	219,35
810,00	221,24
811,00	220,91
812,00	218,79
813,00	224,01
814,00	215,94
815,00	223,55
816,00	225,89
817,00	219,04
818,00	216,08
819,00	221,05
820,00	220,62
821,00	221,97
822,00	214,87
823,00	219,37
824,00	217,03
825,00	223,35
826,00	219,85
827,00	222,28
828,00	224,04
829,00	217,84
830,00	223,86
831,00	216,88
832,00	217,83
833,00	216,25
834,00	218,96
835,00	220,19
836,00	219,33
837,00	220,40
838,00	219,94
839,00	221,64
840,00	222,90
841,00	217,22
842,00	222,42
843,00	221,09
844,00	220,94
845,00	218,78
846,00	218,02
847,00	220,58
848,00	221,79
849,00	221,47
850,00	220,13
851,00	222,71
852,00	215,73
853,00	222,67
854,00	220,30
855,00	218,61
856,00	216,35
857,00	222,59
858,00	215,84
859,00	221,42
860,00	217,12
861,00	222,22
862,00	216,02
863,00	220,18
864,00	220,97
865,00	217,19
866,00	219,27
867,00	216,40
868,00	216,81
869,00	216,43
870,00	221,17
871,00	230,13
872,00	220,71
873,00	222,98
874,00	220,02
875,00	214,12
876,00	222,86
877,00	220,24
878,00	219,89
879,00	217,99
880,00	217,83
881,00	214,74
882,00	217,93
883,00	216,83
884,00	222,38
885,00	218,82
886,00	219,65
887,00	214,21
888,00	212,86
889,00	215,06
890,00	214,31
891,00	216,64
892,00	220,93
893,00	219,26
894,00	213,95
895,00	216,62
896,00	218,34
897,00	219,31
898,00	221,18
899,00	221,84
900,00	217,73
901,00	215,85
902,00	223,16
903,00	219,61
904,00	215,75
905,00	221,77
906,00	216,70
907,00	218,54
908,00	224,78
909,00	215,46
910,00	214,37
911,00	216,28
912,00	213,10
913,00	213,76
914,00	221,95
915,00	220,04
916,00	216,26
917,00	216,85
918,00	214,02
919,00	218,29
920,00	213,29
921,00	213,98
922,00	216,84
923,00	220,68
924,00	210,02
925,00	217,25
926,00	224,74
927,00	220,91
928,00	219,19
929,00	217,07
930,00	221,85
931,00	217,08
932,00	216,16
933,00	217,16
934,00	218,17
935,00	218,17
936,00	218,30
937,00	215,11
938,00	217,74
939,00	218,29
940,00	211,41
941,00	215,10
942,00	222,85
943,00	217,11
944,00	215,96
945,00	216,19
946,00	213,39
947,00	216,78
948,00	219,25
949,00	219,33
950,00	214,02
951,00	219,66
952,00	220,23
953,00	214,21
954,00	217,34
955,00	218,94
956,00	220,91
957,00	221,14
958,00	217,00
959,00	218,50
960,00	216,71
961,00	218,02
962,00	216,82
963,00	218,22
964,00	221,70
965,00	218,01
966,00	219,03
967,00	219,10
968,00	220,85
969,00	215,69
970,00	216,13
971,00	219,92
972,00	222,07
973,00	215,66
974,00	218,05
975,00	218,15
976,00	217,32
977,00	218,18
978,00	221,29
979,00	220,55
980,00	223,95
981,00	219,54
982,00	216,54
983,00	218,87
984,00	217,86
985,00	213,07
986,00	221,65
987,00	220,69
988,00	221,06
989,00	213,69
990,00	217,05
991,00	218,09
992,00	215,15
993,00	217,31
994,00	220,25
995,00	217,51
996,00	216,47
997,00	218,41
998,00	214,33
999,00	219,61
1000,00	216,36
